172.24.247.1	sx-nel-b2
172.24.247.2	sx-nel-s1
172.24.247.3	sx-nel-s10
172.24.247.250	sx-nel-s9
172.24.247.251	sx-nel-s6
172.24.247.252	sx-nel-s7
172.24.247.253	sx-nel-s8
172.24.232.250	sx-nel-s3
172.24.232.251	sx-nel-s4
172.24.232.252	sx-nel-s5
172.16.20.213	sx-grft-s1
172.24.242.2	sx-grft-s2
172.24.242.3	sx-grft-s3
172.24.242.4	sx-grft-s4
172.24.242.5	sx-grft-s5
172.24.242.6	sx-grft-s6
172.24.242.7	sx-grft-s7
172.24.242.8	sx-grft-s8
172.24.242.9	sx-grft-s9
172.24.242.10	sx-grft-s10
172.24.242.11	sx-grft-s11
172.24.242.12	sx-grft-s12
172.24.242.13	sx-grft-s13
